Hostname,IP,MAC,Type,Vendor,Model,OS,Firmware
cemlabphaser7500dn,128.38.237.48,,Printer,,,,
hp4c9831,128.38.237.47,,Printer,,,,
itdlabphaser7500n,128.38.237.43,,Printer,,,,
phaser7400,128.38.237.44,,Printer,,,,
q51designjett790,128.38.240.29,,Printer,,,,
q54hp3800dn,128.38.237.40,,Printer,,,,
agilent1,128.38.249.34,,Sensor,,,,
agilent2,128.38.249.2,,Sensor,,,,
agilent3,128.38.249.18,,Sensor,,,,
agilent4,128.38.249.19,,Sensor,,,,
agilent5,128.38.249.20,,Sensor,,,,
bush,128.38.185.28,,Server,,,,
eisenhower,128.38.185.69,,Server,,,,
halsey,128.38.185.32,,Server,,,,
halseyidrac,128.38.185.183,,Server,,,,
nimitz,128.38.185.68,,Server,,,,
svr173922-b50,128.38.95.100,,Server,,,,
adapt,128.38.65.54,,Workstation,,,,
icecube,128.38.95.60,,Workstation,,,,
ironhide,128.38.95.70,,Workstation,,,,
lap207176-b50,128.38.95.176,,Workstation,,,,
lap207195-b50,128.38.95.38,,Workstation,,,,
lap207199-b50,128.38.95.72,,Workstation,,,,
lap207210-b50,128.38.95.73,,Workstation,,,,
lap207213-b50,128.38.95.213,,Workstation,,,,
lap207225-b50,128.38.95.225,,Workstation,,,,
lap207227-b50,128.38.154.30,,Workstation,,,,
lap209627-b50,128.38.95.54,,Workstation,,,,
lap230244-b50,128.38.95.71,,Workstation,,,,
lap230755-b50,128.38.95.26,,Workstation,,,,
lap232487-b50,128.38.185.203,,Workstation,,,,
lap232867-b50,128.38.95.25,,Workstation,,,,
lap233002-b50,128.38.154.32,,Workstation,,,,
lapz4273-b50,128.38.95.20,,Workstation,,,,
lapz4274-b50,128.38.185.24,,Workstation,,,,
lapz5660-b50,128.38.17.30,,Workstation,,,,
lapz6819-b50,128.38.95.208,,Workstation,,,,
lapz6820-b50,128.38.95.205,,Workstation,,,,
lapz6821-b50,128.38.95.195,,Workstation,,,,
lapz8374-b50,128.38.95.164,,Workstation,,,,
lapz8375-b50,128.38.95.179,,Workstation,,,,
lapz8376-b50,128.38.95.178,,Workstation,,,,
lili,128.38.95.184,,Workstation,,,,
nswc207219,128.38.95.219,,Workstation,,,,
ws174926-b50,128.38.95.48,,Workstation,,,,
ws174927-b50,128.38.95.49,,Workstation,,,,
ws176299-b50,128.38.95.52,,Workstation,,,,
ws176912-b50,128.38.95.133,,Workstation,,,,
ws176913-b50,128.38.95.21,,Workstation,,,,
ws202029-b50,128.38.95.23,,Workstation,,,,
ws202212-b50,128.38.154.34,,Workstation,,,,
ws202506-b50,128.38.95.29,,Workstation,,,,
ws202507-b50,128.38.95.47,,Workstation,,,,
ws202584-b50,128.38.154.35,,Workstation,,,,
ws202681-b50,128.38.95.17,,Workstation,,,,
ws202682-b50,128.38.95.35,,Workstation,,,,
ws207812-b50,128.38.95.43,,Workstation,,,,
ws207813-b50,128.38.95.28,,Workstation,,,,
ws230041-b50,128.38.95.45,,Workstation,,,,
ws230122-b50,128.38.95.36,,Workstation,,,,
ws233029-b50,128.38.95.44,,Workstation,,,,
ws236868-b50,128.38.95.62,,Workstation,,,,
ws236869-b50,128.38.95.37,,Workstation,,,,
ws240023-b50,128.38.95.110,,Workstation,,,,
ws240024-b50,128.38.95.63,,Workstation,,,,
ws240025-b50,128.38.95.112,,Workstation,,,,
ws240477-b50,128.38.95.64,,Workstation,,,,
ws240478-b50,128.38.95.136,,Workstation,,,,
ws242170-b50,128.38.95.41,,Workstation,,,,
wsz0055-b50,128.38.185.31,,Workstation,,,,
wsz0056-b50,128.38.185.30,,Workstation,,,,
wsz0179-b50,128.38.95.50,,Workstation,,,,
wsz0184-b50,128.38.95.22,,Workstation,,,,
wsz0187-b50,128.38.95.55,,Workstation,,,,
wsz4173-b50,128.38.95.82,,Workstation,,,,
wsz4174-b50,128.38.185.21,,Workstation,,,,
